C1,C1S,C2,C2S,GI,DP
ISV,62,ARG,95,1,2022.09.03
ARG,99,PUR,86,2,2022.09.04
DOM,78,ARG,90,3,2022.09.06
ARG,76,VEN,53,4,2022.09.08
ARG,82,USA,73,5,2022.09.10
BRA,73,ARG,75,6,2022.09.11
