C1,C1S,C2,C2S,GI,DP
VEN,72,PAN,58,1,2022.09.02
MEX,74,VEN,80,2,2022.09.05
USA,101,VEN,49,3,2022.09.06
ARG,76,VEN,53,4,2022.09.08
