C1,C1S,C2,C2S,GI,DP
GER,82,ITA,92,1,2021.07.25
ITA,83,AUS,86,2,2021.07.28
ITA,80,NGR,71,3,2021.07.31
ITA,75,FRA,84,4,2021.08.03
