C1,C1S,C2,C2S,GI,DP
ARG,100,SLO,118,1,2021.07.26
ESP,81,ARG,71,2,2021.07.29
ARG,97,JPN,77,3,2021.08.01
AUS,97,ARG,59,4,2021.08.03
