C1,C1S,C2,C2S,GI,DP
SEN,75,EGY,57,1,2022.02.25
EGY,105,KEN,51,2,2022.02.26
EGY,62,COD,51,3,2022.02.27
EGY,76,SEN,43,4,2022.07.01
KEN,39,EGY,72,5,2022.07.02
COD,52,EGY,80,6,2022.07.03
EGY,67,TUN,61,7,2022.08.26
CMR,74,EGY,86,8,2022.08.27
EGY,65,SSD,85,9,2022.08.28
TUN,67,EGY,71,10,2023.02.24
EGY,63,CMR,71,11,2023.02.25
SSD,97,EGY,77,12,2023.02.26
