C1,C1S,C2,C2S,GI,DP
SEN,75,EGY,57,1,2022.02.25
COD,62,SEN,57,2,2022.02.26
KEN,55,SEN,100,3,2022.02.27
EGY,76,SEN,43,4,2022.07.01
SEN,60,COD,72,5,2022.07.02
SEN,86,KEN,54,6,2022.07.03
SEN,69,SSD,66,7,2022.08.26
TUN,63,SEN,73,8,2022.08.27
SEN,90,CMR,71,9,2022.08.28
SSD,83,SEN,75,10,2023.02.24
SEN,53,TUN,70,11,2023.02.25
CMR,63,SEN,89,12,2023.02.26
