C1,C1S,C2,C2S,GI,DP
KEN,56,COD,66,1,2022.02.25
COD,62,SEN,57,2,2022.02.26
EGY,62,COD,51,3,2022.02.27
COD,20,KEN,0,4,2022.07.01
SEN,60,COD,72,5,2022.07.02
COD,52,EGY,80,6,2022.07.03
COD,69,CMR,71,7,2022.08.26
SSD,101,COD,58,8,2022.08.27
COD,45,TUN,57,9,2022.08.28
CMR,85,COD,56,10,2023.02.24
COD,61,SSD,82,11,2023.02.25
TUN,68,COD,72,12,2023.02.26
