C1,C1S,C2,C2S,GI,DP
UGA,77,CPV,74,1,2021.11.27
UGA,69,NGR,95,2,2021.11.28
CPV,87,UGA,78,3,2022.07.02
NGR,91,UGA,72,4,2022.07.03
ANG,84,UGA,62,5,2022.08.26
UGA,80,CIV,91,6,2022.08.27
GUI,76,UGA,69,7,2022.08.28
UGA,49,ANG,82,8,2023.02.24
CIV,89,UGA,44,9,2023.02.25
UGA,47,GUI,88,10,2023.02.26
