C1,C1S,C2,C2S,GI,DP
AUS,80,SLO,90,1,2014.08.30
SLO,89,MEX,68,2,2014.08.31
KOR,72,SLO,89,3,2014.09.02
SLO,93,ANG,87,4,2014.09.03
LTU,67,SLO,64,5,2014.09.04
DOM,61,SLO,71,6,2014.09.06
SLO,76,USA,119,7,2014.09.09
