C1,C1S,C2,C2S,GI,DP
FRA,63,BRA,65,1,2014.08.30
SRB,73,FRA,74,2,2014.08.31
FRA,94,EGY,55,3,2014.09.01
ESP,88,FRA,64,4,2014.09.03
IRI,76,FRA,81,5,2014.09.04
FRA,69,CRO,64,6,2014.09.06
FRA,65,ESP,52,7,2014.09.10
FRA,85,SRB,90,8,2014.09.12
LTU,93,FRA,95,9,2014.09.13
