C1,C1S,C2,C2S,GI,DP
NZL,73,TUR,76,1,2014.08.30
TUR,77,USA,98,2,2014.08.31
UKR,64,TUR,58,3,2014.09.02
TUR,77,FIN,73,4,2014.09.03
TUR,77,DOM,64,5,2014.09.04
TUR,65,AUS,64,6,2014.09.07
LTU,73,TUR,61,7,2014.09.09
