C1,C1S,C2,C2S,GI,DP
IRI,60,ESP,90,1,2014.08.30
BRA,79,IRI,50,2,2014.08.31
IRI,70,SRB,83,3,2014.09.01
EGY,73,IRI,88,4,2014.09.03
IRI,76,FRA,81,5,2014.09.04
