C1,C1S,C2,C2S,GI,DP
PUR,75,ARG,98,1,2014.08.30
ARG,85,CRO,90,2,2014.08.31
ARG,85,PHI,81,3,2014.09.01
SEN,46,ARG,81,4,2014.09.03
ARG,71,GRE,79,5,2014.09.04
BRA,85,ARG,65,6,2014.09.07
