C1,C1S,C2,C2S,GI,DP
PUR,75,ARG,98,1,2014.08.30
SEN,82,PUR,75,2,2014.08.31
PUR,79,GRE,90,3,2014.09.01
PHI,73,PUR,77,4,2014.09.03
CRO,103,PUR,82,5,2014.09.04
