C1,C1S,C2,C2S,GI,DP
FRA,63,BRA,65,1,2014.08.30
BRA,79,IRI,50,2,2014.08.31
BRA,63,ESP,82,3,2014.09.01
SRB,73,BRA,81,4,2014.09.03
BRA,128,EGY,65,5,2014.09.04
BRA,85,ARG,65,6,2014.09.07
SRB,84,BRA,56,7,2014.09.10
