C1,C1S,C2,C2S,GI,DP
USA,114,FIN,55,1,2014.08.30
FIN,81,UKR,76,2,2014.08.31
FIN,68,DOM,74,3,2014.09.02
TUR,77,FIN,73,4,2014.09.03
FIN,65,NZL,67,5,2014.09.04
