C1,C1S,C2,C2S,GI,DP
IRI,60,ESP,90,1,2014.08.30
ESP,91,EGY,54,2,2014.08.31
BRA,63,ESP,82,3,2014.09.01
ESP,88,FRA,64,4,2014.09.03
SRB,73,ESP,89,5,2014.09.04
ESP,89,SEN,56,6,2014.09.06
FRA,65,ESP,52,7,2014.09.10
