C1,C1S,C2,C2S,GI,DP
CAF,49,CMR,67,1,2023.03.20
GAB,71,CMR,80,2,2023.03.21
CHA,74,CMR,82,3,2023.03.24
CMR,102,GEQ,38,4,2023.03.25
