C1,C1S,C2,C2S,GI,DP
ZIM,71,MOZ,57,1,2023.02.21
MOZ,86,ZAM,46,2,2023.02.22
ZAM,80,MOZ,73,3,2023.02.25
MOZ,66,ZIM,53,4,2023.02.26
MOZ,71,ZIM,59,5,2023.02.28
