C1,C1S,C2,C2S,GI,DP
BDI,57,SSD,42,1,2023.06.17
SSD,55,RWA,72,2,2023.06.19
ERI,32,SSD,80,3,2023.06.20
TAN,46,SSD,54,4,2023.06.21
SSD,75,TAN,51,5,2023.06.23
