C1,C1S,C2,C2S,GI,DP
TAN,69,ERI,34,1,2023.06.17
RWA,114,ERI,34,2,2023.06.18
ERI,68,BDI,73,3,2023.06.19
ERI,32,SSD,80,4,2023.06.20
