C1,C1S,C2,C2S,GI,DP
GAB,71,CMR,80,1,2023.03.21
GAB,54,CHA,52,2,2023.03.22
CAF,57,GAB,67,3,2023.03.23
GEQ,36,GAB,110,4,2023.03.24
