C1,C1S,C2,C2S,GI,DP
RWA,114,ERI,34,1,2023.06.18
SSD,55,RWA,72,2,2023.06.19
TAN,57,RWA,77,3,2023.06.20
RWA,52,BDI,53,4,2023.06.21
BDI,48,RWA,70,5,2023.06.23
