C1,C1S,C2,C2S,GI,DP
VEN,62,SRB,86,1,2016.08.06
SRB,80,AUS,95,2,2016.08.08
SRB,75,FRA,76,3,2016.08.10
USA,94,SRB,91,4,2016.08.12
SRB,94,CHN,60,5,2016.08.14
CRO,83,SRB,86,6,2016.08.17
AUS,61,SRB,87,7,2016.08.19
SRB,66,USA,96,8,2016.08.21
