C1,C1S,C2,C2S,GI,DP
VEN,62,SRB,86,1,2016.08.06
USA,113,VEN,69,2,2016.08.08
VEN,72,CHN,68,3,2016.08.10
FRA,96,VEN,56,4,2016.08.12
AUS,81,VEN,56,5,2016.08.14
