C1,C1S,C2,C2S,GI,DP
BRA,76,LTU,82,1,2016.08.07
LTU,89,NGR,80,2,2016.08.09
LTU,81,ARG,73,3,2016.08.11
ESP,109,LTU,59,4,2016.08.13
LTU,81,CRO,90,5,2016.08.15
AUS,90,LTU,64,6,2016.08.17
