C1,C1S,C2,C2S,GI,DP
JOR,68,KSA,61,1,2021.11.26
KSA,72,JOR,64,2,2021.11.29
KSA,95,INA,66,3,2022.02.24
KSA,68,LBN,81,4,2022.02.27
INA,67,KSA,69,5,2022.07.01
LBN,90,KSA,60,6,2022.07.04
KSA,65,NZL,80,7,2022.08.25
PHI,84,KSA,46,8,2022.08.29
KSA,85,IND,54,9,2022.11.10
KSA,63,PHI,76,10,2022.11.13
NZL,110,KSA,63,11,2023.02.24
IND,60,KSA,71,12,2023.02.27
