C1,C1S,C2,C2S,GI,DP
IRI,82,BRN,66,1,2021.11.26
BRN,64,IRI,100,2,2021.11.29
BRN,64,SYR,80,3,2022.02.24
BRN,48,KAZ,95,4,2022.02.27
SYR,67,BRN,76,5,2022.07.01
KAZ,51,BRN,62,6,2022.07.04
BRN,50,AUS,104,7,2022.08.25
CHN,80,BRN,67,8,2022.08.29
BRN,74,JPN,87,9,2022.11.11
BRN,67,CHN,80,10,2022.11.14
AUS,83,BRN,51,11,2023.02.23
JPN,95,BRN,72,12,2023.02.26
