C1,C1S,C2,C2S,GI,DP
LBN,96,INA,38,1,2021.11.26
INA,64,LBN,110,2,2021.11.29
KSA,95,INA,66,3,2022.02.24
JOR,94,INA,64,4,2022.02.27
INA,67,KSA,69,5,2022.07.01
INA,52,JOR,77,6,2022.07.04
