C1,C1S,C2,C2S,GI,DP
IND,64,PHI,88,1,2022.02.25
NZL,88,PHI,63,2,2022.02.27
PHI,60,NZL,106,3,2022.06.30
PHI,79,IND,63,4,2022.07.03
LBN,85,PHI,81,5,2022.08.25
PHI,84,KSA,46,6,2022.08.29
JOR,66,PHI,74,7,2022.11.10
KSA,63,PHI,76,8,2022.11.13
PHI,107,LBN,96,9,2023.02.24
PHI,90,JOR,91,10,2023.02.27
