C1,C1S,C2,C2S,GI,DP
CHN,79,JPN,63,1,2021.11.27
JPN,73,CHN,106,2,2021.11.28
TPE,71,JPN,76,3,2022.02.26
AUS,80,JPN,64,4,2022.02.27
JPN,52,AUS,98,5,2022.07.01
JPN,89,TPE,49,6,2022.07.03
IRI,79,JPN,68,7,2022.08.25
JPN,73,KAZ,48,8,2022.08.30
BRN,74,JPN,87,9,2022.11.11
KAZ,61,JPN,81,10,2022.11.14
JPN,96,IRI,61,11,2023.02.23
JPN,95,BRN,72,12,2023.02.26
