C1,C1S,C2,C2S,GI,DP
BEL,79,GEO,76,1,2022.09.01
GEO,64,ESP,90,2,2022.09.03
TUR,83,GEO,88,3,2022.09.04
GEO,80,BUL,92,4,2022.09.06
GEO,73,MNE,81,5,2022.09.07
