C1,C1S,C2,C2S,GI,DP
ESP,114,BUL,87,1,2022.09.01
GEO,64,ESP,90,2,2022.09.03
ESP,73,BEL,83,3,2022.09.04
MNE,65,ESP,82,4,2022.09.06
TUR,69,ESP,72,5,2022.09.07
ESP,102,LTU,94,6,2022.09.10
ESP,100,FIN,90,7,2022.09.13
GER,91,ESP,96,8,2022.09.16
ESP,88,FRA,76,9,2022.09.18
