C1,C1S,C2,C2S,GI,DP
FRA,63,GER,76,1,2022.09.01
GER,92,BIH,82,2,2022.09.03
LTU,107,GER,109,3,2022.09.04
GER,80,SLO,88,4,2022.09.06
HUN,71,GER,106,5,2022.09.07
GER,85,MNE,79,6,2022.09.10
GER,107,GRE,96,7,2022.09.13
GER,91,ESP,96,8,2022.09.16
GER,82,POL,69,9,2022.09.18
