C1,C1S,C2,C2S,GI,DP
POL,99,CZE,84,1,2022.09.02
FIN,89,POL,59,2,2022.09.03
POL,85,ISR,76,3,2022.09.05
NED,69,POL,75,4,2022.09.06
SRB,96,POL,69,5,2022.09.08
UKR,86,POL,94,6,2022.09.11
SLO,87,POL,90,7,2022.09.14
POL,54,FRA,95,8,2022.09.16
GER,82,POL,69,9,2022.09.18
