C1,C1S,C2,C2S,GI,DP
ITA,83,EST,62,1,2022.09.02
GRE,85,ITA,81,2,2022.09.03
UKR,84,ITA,73,3,2022.09.05
ITA,81,CRO,76,4,2022.09.06
GBR,56,ITA,90,5,2022.09.08
SRB,86,ITA,94,6,2022.09.11
FRA,93,ITA,85,7,2022.09.14
