C1,C1S,C2,C2S,GI,DP
BIH,95,HUN,85,1,2022.09.01
HUN,88,SLO,103,2,2022.09.03
FRA,78,HUN,74,3,2022.09.04
HUN,64,LTU,87,4,2022.09.06
HUN,71,GER,106,5,2022.09.07
