C1,C1S,C2,C2S,GI,DP
SRB,100,NED,76,1,2022.09.02
NED,67,ISR,74,2,2022.09.03
CZE,88,NED,80,3,2022.09.05
NED,69,POL,75,4,2022.09.06
FIN,88,NED,67,5,2022.09.08
