C1,C1S,C2,C2S,GI,DP
ESP,114,BUL,87,1,2022.09.01
BUL,87,TUR,101,2,2022.09.03
BUL,81,MNE,91,3,2022.09.04
GEO,80,BUL,92,4,2022.09.06
BUL,80,BEL,89,5,2022.09.07
