C1,C1S,C2,C2S,GI,DP
CRO,74,SLO,76,1,2021.11.25
FIN,77,CRO,71,2,2021.11.28
CRO,64,SWE,70,3,2022.02.25
SWE,98,CRO,105,4,2022.02.28
SLO,97,CRO,69,5,2022.06.30
CRO,79,FIN,81,6,2022.07.03
