C1,C1S,C2,C2S,GI,DP
MKD,65,ESP,94,1,2021.11.26
UKR,78,MKD,61,2,2021.11.29
GEO,91,MKD,70,3,2022.02.24
MKD,65,GEO,79,4,2022.02.27
ESP,80,MKD,44,5,2022.07.01
MKD,68,UKR,73,6,2022.07.04
