C1,C1S,C2,C2S,GI,DP
GEO,88,UKR,83,1,2021.11.26
UKR,78,MKD,61,2,2021.11.29
ESP,88,UKR,74,3,2022.02.24
UKR,79,GEO,66,4,2022.07.01
MKD,68,UKR,73,5,2022.07.04
UKR,76,ESP,77,6,2022.07.07
UKR,89,ITA,97,7,2022.08.24
ISL,91,UKR,88,8,2022.08.27
NED,77,UKR,96,9,2022.11.11
UKR,79,ISL,72,10,2022.11.14
ITA,85,UKR,75,11,2023.02.23
UKR,72,NED,56,12,2023.02.26
