C1,C1S,C2,C2S,GI,DP
SVK,57,BEL,83,1,2021.11.25
BEL,73,SRB,69,2,2021.11.28
BEL,65,LAT,66,3,2022.02.25
LAT,68,BEL,63,4,2022.02.28
BEL,102,SVK,59,5,2022.06.30
SRB,73,BEL,74,6,2022.07.04
BEL,72,GBR,57,7,2022.08.25
GRE,85,BEL,68,8,2022.08.28
TUR,86,BEL,52,9,2022.11.11
BEL,70,GRE,72,10,2022.11.14
GBR,59,BEL,88,11,2023.02.24
BEL,54,TUR,82,12,2023.02.27
