C1,C1S,C2,C2S,GI,DP
GER,66,EST,69,1,2021.11.25
POL,69,GER,72,2,2021.11.28
ISR,67,GER,71,3,2022.02.25
GER,84,ISR,80,4,2022.02.28
EST,57,GER,88,5,2022.06.30
GER,93,POL,83,6,2022.07.03
SWE,50,GER,67,7,2022.08.25
GER,90,SLO,71,8,2022.08.28
GER,94,FIN,80,9,2022.11.11
SLO,81,GER,75,10,2022.11.14
GER,73,SWE,66,11,2023.02.24
FIN,81,GER,87,12,2023.02.27
