C1,C1S,C2,C2S,GI,DP
GBR,78,GRE,69,1,2021.11.25
TUR,84,GBR,67,2,2021.11.28
GRE,93,GBR,71,3,2022.06.30
GBR,71,TUR,85,4,2022.07.03
BEL,72,GBR,57,5,2022.08.25
GBR,80,LAT,87,6,2022.08.28
GBR,68,SRB,74,7,2022.11.11
LAT,79,GBR,63,8,2022.11.14
GBR,59,BEL,88,9,2023.02.24
SRB,101,GBR,83,10,2023.02.27
