C1,C1S,C2,C2S,GI,DP
TUR,84,GBR,67,1,2021.11.28
GRE,72,TUR,71,2,2022.02.25
TUR,67,GRE,76,3,2022.02.28
GBR,71,TUR,85,4,2022.07.03
LAT,111,TUR,85,5,2022.08.25
TUR,72,SRB,79,6,2022.08.28
TUR,86,BEL,52,7,2022.11.11
SRB,77,TUR,76,8,2022.11.14
TUR,74,LAT,83,9,2023.02.24
BEL,54,TUR,82,10,2023.02.27
