C1,C1S,C2,C2S,GI,DP
SWE,72,FIN,62,1,2021.11.25
FIN,77,CRO,71,2,2021.11.28
FIN,86,SLO,76,3,2022.02.25
SLO,79,FIN,83,4,2022.02.28
FIN,85,SWE,69,5,2022.06.30
CRO,79,FIN,81,6,2022.07.03
FIN,79,ISR,73,7,2022.08.25
EST,68,FIN,76,8,2022.08.28
GER,94,FIN,80,9,2022.11.11
FIN,91,EST,71,10,2022.11.14
ISR,95,FIN,97,11,2023.02.24
FIN,81,GER,87,12,2023.02.27
