C1,C1S,C2,C2S,GI,DP
SWE,72,FIN,62,1,2021.11.25
SLO,94,SWE,89,2,2021.11.28
CRO,64,SWE,70,3,2022.02.25
SWE,98,CRO,105,4,2022.02.28
FIN,85,SWE,69,5,2022.06.30
SWE,81,SLO,84,6,2022.07.03
SWE,50,GER,67,7,2022.08.25
ISR,83,SWE,95,8,2022.08.28
EST,82,SWE,87,9,2022.11.11
SWE,71,ISR,68,10,2022.11.14
GER,73,SWE,66,11,2023.02.24
SWE,71,EST,72,12,2023.02.27
