C1,C1S,C2,C2S,GI,DP
EGY,67,LTU,93,1,2023.08.25
MNE,89,EGY,74,2,2023.08.27
EGY,100,MEX,72,3,2023.08.29
EGY,85,JOR,69,4,2023.08.31
NZL,88,EGY,86,5,2023.09.02
