C1,C1S,C2,C2S,GI,DP
SRB,105,CHN,63,1,2023.08.26
CHN,69,SSD,89,2,2023.08.28
CHN,89,PUR,107,3,2023.08.30
ANG,76,CHN,83,4,2023.08.31
PHI,96,CHN,75,5,2023.09.02
