C1,C1S,C2,C2S,GI,DP
JOR,71,GRE,92,1,2023.08.26
GRE,81,USA,109,2,2023.08.28
GRE,83,NZL,74,3,2023.08.30
LTU,92,GRE,67,4,2023.09.01
GRE,69,MNE,73,5,2023.09.03
