C1,C1S,C2,C2S,GI,DP
GER,81,JPN,63,1,2023.08.25
JPN,98,FIN,88,2,2023.08.27
AUS,109,JPN,89,3,2023.08.29
JPN,86,VEN,77,4,2023.08.31
JPN,80,CPV,71,5,2023.09.02
