C1,C1S,C2,C2S,GI,DP
SLO,100,VEN,85,1,2023.08.26
VEN,75,CPV,81,2,2023.08.28
GEO,70,VEN,59,3,2023.08.30
JPN,86,VEN,77,4,2023.08.31
FIN,90,VEN,75,5,2023.09.02
