C1,C1S,C2,C2S,GI,DP
CPV,60,GEO,85,1,2023.08.26
GEO,67,SLO,88,2,2023.08.28
GEO,70,VEN,59,3,2023.08.30
GER,100,GEO,73,4,2023.09.01
AUS,100,GEO,84,5,2023.09.03
