C1,C1S,C2,C2S,GI,DP
BRA,77,CHI,53,1,2021.11.26
CHI,55,BRA,81,2,2021.11.27
BRA,85,URU,66,3,2022.02.25
BRA,119,COL,73,4,2022.02.28
URU,60,BRA,73,5,2022.06.30
COL,104,BRA,98,6,2022.07.03
PUR,75,BRA,72,7,2022.08.25
BRA,72,MEX,82,8,2022.08.29
USA,79,BRA,94,9,2022.11.11
MEX,56,BRA,102,10,2022.11.14
BRA,90,PUR,92,11,2023.02.23
BRA,83,USA,76,12,2023.02.26
