C1,C1S,C2,C2S,GI,DP
RUS,82,NGR,77,1,2019.08.31
KOR,73,RUS,87,2,2019.09.02
RUS,61,ARG,69,3,2019.09.04
POL,79,RUS,74,4,2019.09.06
VEN,60,RUS,69,5,2019.09.08
