C1,C1S,C2,C2S,GI,DP
DOM,80,JOR,76,1,2019.09.01
JOR,64,FRA,103,2,2019.09.03
GER,96,JOR,62,3,2019.09.05
CAN,126,JOR,71,4,2019.09.07
JOR,79,SEN,77,5,2019.09.09
