C1,C1S,C2,C2S,GI,DP
PHI,62,ITA,108,1,2019.08.31
ITA,92,ANG,61,2,2019.09.02
ITA,77,SRB,92,3,2019.09.04
ESP,67,ITA,60,4,2019.09.06
PUR,89,ITA,94,5,2019.09.08
