C1,C1S,C2,C2S,GI,DP
ESP,101,TUN,62,1,2019.08.31
TUN,79,IRI,67,2,2019.09.02
PUR,67,TUN,64,3,2019.09.04
TUN,86,PHI,67,4,2019.09.06
TUN,86,ANG,84,5,2019.09.08
