C1,C1S,C2,C2S,GI,DP
GRE,85,MNE,60,1,2019.09.01
MNE,83,NZL,93,2,2019.09.03
BRA,84,MNE,73,3,2019.09.05
TUR,79,MNE,74,4,2019.09.07
JPN,65,MNE,80,5,2019.09.09
