C1,C1S,C2,C2S,GI,DP
CIV,55,CHN,70,1,2019.08.31
VEN,87,CIV,71,2,2019.09.02
CIV,63,POL,80,3,2019.09.04
NGR,83,CIV,66,4,2019.09.06
CIV,71,KOR,80,5,2019.09.08
