C1,C1S,C2,C2S,GI,DP
ARG,95,KOR,69,1,2019.08.31
KOR,73,RUS,87,2,2019.09.02
KOR,66,NGR,108,3,2019.09.04
CHN,77,KOR,73,4,2019.09.06
CIV,71,KOR,80,5,2019.09.08
