C1,C1S,C2,C2S,GI,DP
ANG,59,SRB,105,1,2019.08.31
SRB,126,PHI,67,2,2019.09.02
ITA,77,SRB,92,3,2019.09.04
SRB,90,PUR,47,4,2019.09.06
ESP,81,SRB,69,5,2019.09.08
ARG,97,SRB,87,6,2019.09.10
SRB,94,USA,89,7,2019.09.12
SRB,90,CZE,81,8,2019.09.14
