C1,C1S,C2,C2S,GI,DP
RUS,82,NGR,77,1,2019.08.31
NGR,81,ARG,94,2,2019.09.02
KOR,66,NGR,108,3,2019.09.04
NGR,83,CIV,66,4,2019.09.06
CHN,73,NGR,86,5,2019.09.08
